Company Name,Link
STOCKS,https://www.moneycontrol.com/india/stockpricequote/
A,https://www.moneycontrol.com/india/stockpricequote/A
B,https://www.moneycontrol.com/india/stockpricequote/B
C,https://www.moneycontrol.com/india/stockpricequote/C
D,https://www.moneycontrol.com/india/stockpricequote/D
E,https://www.moneycontrol.com/india/stockpricequote/E
F,https://www.moneycontrol.com/india/stockpricequote/F
G,https://www.moneycontrol.com/india/stockpricequote/G
H,https://www.moneycontrol.com/india/stockpricequote/H
I,https://www.moneycontrol.com/india/stockpricequote/I
J,https://www.moneycontrol.com/india/stockpricequote/J
K,https://www.moneycontrol.com/india/stockpricequote/K
L,https://www.moneycontrol.com/india/stockpricequote/L
M,https://www.moneycontrol.com/india/stockpricequote/M
N,https://www.moneycontrol.com/india/stockpricequote/N
O,https://www.moneycontrol.com/india/stockpricequote/O
P,https://www.moneycontrol.com/india/stockpricequote/P
Q,https://www.moneycontrol.com/india/stockpricequote/Q
R,https://www.moneycontrol.com/india/stockpricequote/R
S,https://www.moneycontrol.com/india/stockpricequote/S
T,https://www.moneycontrol.com/india/stockpricequote/T
U,https://www.moneycontrol.com/india/stockpricequote/U
V,https://www.moneycontrol.com/india/stockpricequote/V
W,https://www.moneycontrol.com/india/stockpricequote/W
X,https://www.moneycontrol.com/india/stockpricequote/X
Y,https://www.moneycontrol.com/india/stockpricequote/Y
Z,https://www.moneycontrol.com/india/stockpricequote/Z
OTHERS,https://www.moneycontrol.com/india/stockpricequote/others
360 ONE WAM,https://www.moneycontrol.com/india/stockpricequote/360onewam/360onewam/IIFLW54277
3M India,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
Aarti Ind,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
AAVAS Financier,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aavasfinanciers/AF17
AB Capital,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adityabirlacapital/ABC9
ABB India,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
Abbott India,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51
ACC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
Action Const,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
Adani Energy,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22
Adani Enterpris,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
Adani Ports,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
Adani Power,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
Adani Total Gas,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
Aditya Birla F,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
Aditya Birla Re,https://www.moneycontrol.com/india/stockpricequote/adityabirlare/adityabirlarealestate/CTI
Aegis Logistics,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Aether Ind,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84
AIA Engineering,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Ajanta Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Akzo Nobel,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Alembic Pharma,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Alkem Lab,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Alkyl Amines,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC
Alok Industries,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54
Amara Raja,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajaenergymobility/ARB
Amber Enterpris,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
Ambuja Cements,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Anant Raj,https://www.moneycontrol.com/india/stockpricequote/anantraj/anantraj/ARI
Anupam Rasayan,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/anupamrasayanindia/ARI02
Apar Ind,https://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40
APL Apollo,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
Apollo Hospital,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
Apollo Tyres,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Archean Chem,https://www.moneycontrol.com/india/stockpricequote/chemicals/archeanchemicalindustries/ACI05
Asahi India,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
Ashok Leyland,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
Asian Paints,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Aster DM Health,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
Astral Ltd,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02
AstraZeneca,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Atul,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
AU Small Financ,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02
Aurobindo Pharm,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Authum Invest,https://www.moneycontrol.com/india/stockpricequote/authuminvest/authuminvestmentinfrastucture/AII01
Avenue Supermar,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Axis Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Bajaj Auto,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Bajaj Finance,https://www.moneycontrol.com/india/stockpricequote/bajajfinance/bajajfinance/BAF
Bajaj Finserv,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
Bajaj Holdings,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Balaji Amines,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
Balkrishna Ind,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Balrampur Chini,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
Bandhan Bank,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/bandhanbank/BB09
