Company Name,Scrip Name,URL,Sector,Identifier
A B Infrabuild,I07,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07,infrastructuregeneral,abinfrabuild
A K S Credits,AKS,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS,financeleasinghirepurchase,akscredits
A-1,AA14,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1/AA14,chemicals,a1
AA Plus,APT03,https://www.moneycontrol.com/india/stockpricequote/trading/aaplustradelink/APT03,trading,aaplustradelink
Aadhaar Venture,PI37,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37,financegeneral,aadhaarventuresindia
aafsgnfgbdfb ef,AP18,https://www.moneycontrol.com/india/stockpricequote/aafsgnfgbdfbef/aafsgnfgbdfbefsdvsdvva/AP18,aafsgnfgbdfbef,aafsgnfgbdfbefsdvsdvva
Aakash Explorat,AES01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01,engineeringheavy,aakashexplorationservices
Aanchal Ispat,AI36,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36,steelspongeiron,aanchalispat
AAR COMMERCIAL,AAR,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR,textilesgeneral,aarcommercialcompany
Aarnav Fashions,KS18,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18,financegeneral,aarnavfashions
Aarti Drugs,AD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD,pharmaceuticals,aartidrugs
AARTI-RE,ASR01,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantsre/ASR01,chemicals,aartisurfactantsre
Aarvee Denim,ADE,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE,textilesdenim,aarveedenimexports
Aasheesh Sec,AS12,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12,financeinvestments,aasheeshsecurities
AASTAFIN,UF01,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01,aastafin,aastamangalamfinance
AAYUSH ART,AKM,https://www.moneycontrol.com/india/stockpricequote/aayushart/aayushartandbullion/AKM,aayushart,aayushartandbullion
AB Corp,ABC05,https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05,abcorp,abcorp
AB FR-PP,ABF01,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01,retailing,adityabirlafashionretailpp
