Company Name,Identifier,URL
A B Infrabuild,I07,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07
A K S Credits,AKS,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS
A-1,AA14,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1/AA14
AA Plus,APT03,https://www.moneycontrol.com/india/stockpricequote/trading/aaplustradelink/APT03
Aadhaar Venture,PI37,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37
aafsgnfgbdfb ef,AP18,https://www.moneycontrol.com/india/stockpricequote/aafsgnfgbdfbef/aafsgnfgbdfbefsdvsdvva/AP18
Aakash Explorat,AES01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
Aanchal Ispat,AI36,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36
AAR COMMERCIAL,AAR,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR
Aarnav Fashions,KS18,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18
Aarti Drugs,AD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
AARTI-RE,ASR01,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantsre/ASR01
Aarvee Denim,ADE,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
Aasheesh Sec,AS12,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12
AASTAFIN,UF01,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01
AAYUSH ART,AKM,https://www.moneycontrol.com/india/stockpricequote/aayushart/aayushartandbullion/AKM
AB Corp,ABC05,https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05
AB FR-PP,ABF01,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01
ABACACV LKNALB,MAN04,https://www.moneycontrol.com/india/stockpricequote/abacacvlknalb/abacacvlknalb/MAN04
ABans Enterpris,MST03,https://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03
ABB India,ABB,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
ABC India,ABC,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
Abesc,BI19,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19
ABGSEC,ABGSE24404,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abgsec/ABGSE24404
Abhinandan,AEL07,https://www.moneycontrol.com/india/stockpricequote/abhinandan/abhinandanenterprises/AEL07
Abhishek Corp,AC22,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
Abhishek Integr,AI83,https://www.moneycontrol.com/india/stockpricequote/abhishekintegr/abhishekintegrations/AI83
Abirami Finance,AFS,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS
ABM Knowledg,ABM,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM
Abner Pharma,AP01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01
ABSL Life Gold,BSL02,https://www.moneycontrol.com/india/stockpricequote/absllifegold/birlasunlifegoldetf/BSL02
ABSL NiftyBank,ABSLB13987,https://www.moneycontrol.com/india/stockpricequote/abslniftybank/adityabirlasunlifeniftybanketf/ABSLB13987
ABSL NiftyNext,ABSLN7339,https://www.moneycontrol.com/india/stockpricequote/abslniftynext/adityabirlasunlifeniftynext50etf/ABSLN7339
ABSLPSE,ABSLP23806,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslpse/ABSLP23806
ACCEDERE,EM01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accedere/EM01
Accelya,KAL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL
Acclaim Ind,EP12,https://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12
Accurate Exp,AE12,https://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12
ACE Edutrend,AIF,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF
Ace Labs,AL01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01
Ace Stonecraft,ASL02,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02
Acewin Agriteck,INE02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02
Achyut Health,AH09,https://www.moneycontrol.com/india/stockpricequote/achyuthealth/achyuthealthcare/AH09
Acjlascadb svdj,BCI04,https://www.moneycontrol.com/india/stockpricequote/acjlascadbsvdj/acjlascadbsvdj/BCI04
Acmasnvadn dcnd,CI16,https://www.moneycontrol.com/india/stockpricequote/acmasnvadndcnd/acmasnvadndcnd/CI16
Acme Resources,AR9,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9
Acquaint Export,AE,https://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
ACS TECHNOLOGIE,LNP,https://www.moneycontrol.com/india/stockpricequote/acstechnologie/acstechnologies/LNP
Action Financia,AFS01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01
Acumen Trading,ATI01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01
Adani Energy,AT22,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22
Adani Green Ene,ADANI54145,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
Adani Total Gas,ADG01,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
Adarsh Mercant,AM12,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12
Adcon Capital,ACS06,https://www.moneycontrol.com/india/stockpricequote/adconcapital/adconcapitalservices/ACS06
Add-Life Pharma,ALP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
Addictive Learn,ALTL,https://www.moneycontrol.com/india/stockpricequote/addictivelearn/addictivelearningtechnology/ALTL
ADF Foods,AF30,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
Adhbhut Infra,AI71,https://www.moneycontrol.com/india/stockpricequote/adhbhutinfra/adhbhutinfrastructure/AI71
Adhunik Synth,AS,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS
Adinath Exim,AER,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER
Adithya Alkaloi,AAL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
Aditya Birla Ch,ABC08,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
Aditya Consumer,ACM01,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01
Aditya Forge,AF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF
Aditya Lime,ALI01,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01
Aditya Spinners,AS01,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
Adjia Tech,AT24,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24
Ador Fontech,AF22,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22
Ador Technopak,AT11,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11
Adroit Info PP,AIP01,https://www.moneycontrol.com/india/stockpricequote/onlineservices/adroitinfotechpp/AIP01
ADS Diagnostic,ADS,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
Advance Bio-Coa,ABC04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
Advance Multi,AM02,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02
Advance Syntex,AS08,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08
Advani Hotels,AHR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Advik Capital,AIL04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04
AEC Enterprises,AEC,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC
Aelea Commo,ACL09,https://www.moneycontrol.com/india/stockpricequote/consumerfood/aeleacommodities/ACL09
Aeroflex Ind.,AI87,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/aeroflexindustries/AI87
AERPACE-RE,AIR01,https://www.moneycontrol.com/india/stockpricequote/aerpacere/aerpaceindustriesre/AIR01
Aether Ind,AI84,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84
AFEL-RE,ER04,https://www.moneycontrol.com/india/stockpricequote/afelre/afenterprisesre/ER04
AFFORD-RE,ARA01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/affordableroboticautomationre/ARA01
Aftek,A14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
Agarwal Ind,AIC03,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGI Greenpac,HSI02,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02
Agni Green,AGP,https://www.moneycontrol.com/india/stockpricequote/renewables/agnigreenpower/AGP
Agri-Tech,ATI02,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
Agrimony Comm,AC11,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11
Agro Dutch Ind,ADI02,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
AGS Transact,ATT,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT
Ahimsa Ind,AI44,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44
Ahluwalia,ACI12,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
AI Champdany,AIC02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
AIK Pipes,APA,https://www.moneycontrol.com/india/stockpricequote/aikpipes/aikpipesandpolymers/APA
Aimtron Electro,AEL03,https://www.moneycontrol.com/india/stockpricequote/electronicscomponents/aimtronelectronics/AEL03
Air Command Tec,ACT,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandtechnologies/ACT
AJ Brothers,AJB,https://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB
Ajanta Tubes,AT03,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ajantatubes/AT03
Ajcon Global,AG01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ajconglobal/AG01
Ajooni Biotech,ABL01,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01
AJR Infra Tol,GIP01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01
Akanksha Power,API02,https://www.moneycontrol.com/india/stockpricequote/transmissiontowersequipments/akankshapowerinfrastructure/API02
Akash Agencies,AA11,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/akashagencies/AA11
Akash Infraproj,AI76,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76
AKG Exim,AE20,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20
AKI India,AI80,https://www.moneycontrol.com/india/stockpricequote/akiindia/akiindia/AI80
Akme Fintrade I,AFIL,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/akmefintradeindia/AFIL
Akshar Spintex,ASL,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aksharspintex/ASL
Akums Drugs P,ADP03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/akumsdrugspharmaceuticals/ADP03
Al-Amanat Finan,AAF02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alamanatfinanceandcapitalservices/AAF02
Alacrity Sec,AS04,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alacritysecurities/AS04
Alang Ind Gases,AIG,https://www.moneycontrol.com/india/stockpricequote/chemicals/alangindustriesgases/AIG
Albert David,AD01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
Alchemist Corp,AC23,https://www.moneycontrol.com/india/stockpricequote/alchemistcorp/alchemistcorporation/AC23
Alembic,A08,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
Alert Petrogas,AP04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alertpetrogas/AP04
Alexcon Foam,AF04,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/alexconfoamcast/AF04
