Company Name,Scrip Name,URL
A B Infrabuild,I07,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abinfrabuild/I07
A K S Credits,AKS,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/akscredits/AKS
A-1,AA14,https://www.moneycontrol.com/india/stockpricequote/chemicals/a1/AA14
AA Plus,APT03,https://www.moneycontrol.com/india/stockpricequote/trading/aaplustradelink/APT03
AAR COMMERCIAL,AAR,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aarcommercialcompany/AAR
AARTI-RE,ASR01,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantsre/ASR01
AASTAFIN,UF01,https://www.moneycontrol.com/india/stockpricequote/aastafin/aastamangalamfinance/UF01
AAYUSH ART,AKM,https://www.moneycontrol.com/india/stockpricequote/aayushart/aayushartandbullion/AKM
AB Corp,ABC05,https://www.moneycontrol.com/india/stockpricequote/abcorp/abcorp/ABC05
AB FR-PP,ABF01,https://www.moneycontrol.com/india/stockpricequote/retailing/adityabirlafashionretailpp/ABF01
ABACACV LKNALB,MAN04,https://www.moneycontrol.com/india/stockpricequote/abacacvlknalb/abacacvlknalb/MAN04
ABB India,ABB,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
ABC India,ABC,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/abcindia/ABC
ABGSEC,ABGSE24404,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abgsec/ABGSE24404
ABM Knowledg,ABM,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/abmknowledgeware/ABM
ABSL Life Gold,BSL02,https://www.moneycontrol.com/india/stockpricequote/absllifegold/birlasunlifegoldetf/BSL02
ABSL NiftyBank,ABSLB13987,https://www.moneycontrol.com/india/stockpricequote/abslniftybank/adityabirlasunlifeniftybanketf/ABSLB13987
ABSL NiftyNext,ABSLN7339,https://www.moneycontrol.com/india/stockpricequote/abslniftynext/adityabirlasunlifeniftynext50etf/ABSLN7339
ABSLPSE,ABSLP23806,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslpse/ABSLP23806
ABans Enterpris,MST03,https://www.moneycontrol.com/india/stockpricequote/trading/abansenterprises/MST03
ACCEDERE,EM01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accedere/EM01
ACE Edutrend,AIF,https://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF
ACS TECHNOLOGIE,LNP,https://www.moneycontrol.com/india/stockpricequote/acstechnologie/acstechnologies/LNP
ADF Foods,AF30,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
ADS Diagnostic,ADS,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/adsdiagnostic/ADS
AEC Enterprises,AEC,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aecenterprises/AEC
AERPACE-RE,AIR01,https://www.moneycontrol.com/india/stockpricequote/aerpacere/aerpaceindustriesre/AIR01
AFEL-RE,ER04,https://www.moneycontrol.com/india/stockpricequote/afelre/afenterprisesre/ER04
AFFORD-RE,ARA01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/affordableroboticautomationre/ARA01
AGI Greenpac,HSI02,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02
AGS Transact,ATT,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT
AI Champdany,AIC02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
AIK Pipes,APA,https://www.moneycontrol.com/india/stockpricequote/aikpipes/aikpipesandpolymers/APA
AJ Brothers,AJB,https://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB
AJR Infra Tol,GIP01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01
AKG Exim,AE20,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20
AKI India,AI80,https://www.moneycontrol.com/india/stockpricequote/akiindia/akiindia/AI80
AM Febcon,F03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03
AMAL-RE,AR11,https://www.moneycontrol.com/india/stockpricequote/amalre/amalre/AR11
AMD Industries,AMD02,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
AMIC Forging,AFL02,https://www.moneycontrol.com/india/stockpricequote/autoancillariescastingsforgings/amicforging/AFL02
AMJ Land,PPP,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
ANDHRSUGAR,AS18,https://www.moneycontrol.com/india/stockpricequote/andhrsugar/theandhrasugar/AS18
AONELIQUID,AONEL30472,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aoneliquid/AONEL30472
APM Industries,APM,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/apmindustries/APM
APR,APR,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/apr/APR
APS-Star Ind,APS,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/apsstarindustries/APS
ARCFIN-RE,AFR01,https://www.moneycontrol.com/india/stockpricequote/arcfinre/arcfinancere/AFR01
ARM Polymers,ARM,https://www.moneycontrol.com/india/stockpricequote/packaging/armpolymers/ARM
ARVINDF-RE,ARVIN19079,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfre/ARVIN19079
AS SBL,ARYAN54217,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aryansharestockbrokerslt/ARYAN54217
ASIANP-RE,APE02,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/asianpetroproductsexportsre/APE02
ASMTEC-RE,ATR01,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/asmtechnologiesre/ATR01
ATC Energies,AES02,https://www.moneycontrol.com/india/stockpricequote/batteries/atcenergiessystem/AES02
ATN Int,AI50,https://www.moneycontrol.com/india/stockpricequote/atnint/atninternational/AI50
ATV Projects,ATV,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/atvprojectsindia/ATV
AVI Export,AVI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/aviexportindia/AVI
AVI Polymers,AVI04,https://www.moneycontrol.com/india/stockpricequote/avipolymers/avipolymers/AVI04
AVP Infracon,AIL07,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/avpinfracon/AIL07
AVSL Industries,AI75,https://www.moneycontrol.com/india/stockpricequote/avslindustries/avslindustries/AI75
AXIS NI IT ETF,ATE04,https://www.moneycontrol.com/india/stockpricequote/axisniitetf/axisniftyitetf/ATE04
Aadhaar Venture,PI37,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aadhaarventuresindia/PI37
Aakash Explorat,AES01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/aakashexplorationservices/AES01
Aanchal Ispat,AI36,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/aanchalispat/AI36
Aarnav Fashions,KS18,https://www.moneycontrol.com/india/stockpricequote/financegeneral/aarnavfashions/KS18
Aarti Drugs,AD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aartidrugs/AD
Aarvee Denim,ADE,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/aarveedenimexports/ADE
Aasheesh Sec,AS12,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aasheeshsecurities/AS12
Abesc,BI19,https://www.moneycontrol.com/india/stockpricequote/abesc/abesc/BI19
Abhinandan,AEL07,https://www.moneycontrol.com/india/stockpricequote/abhinandan/abhinandanenterprises/AEL07
Abhishek Corp,AC22,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
Abhishek Integr,AI83,https://www.moneycontrol.com/india/stockpricequote/abhishekintegr/abhishekintegrations/AI83
Abirami Finance,AFS,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/abiramifinancialservicesindia/AFS
Abner Pharma,AP01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abnerpharma/AP01
Accelya,KAL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL
Acclaim Ind,EP12,https://www.moneycontrol.com/india/stockpricequote/packaging/acclaimindustries/EP12
Accurate Exp,AE12,https://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12
Ace Labs,AL01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01
Ace Stonecraft,ASL02,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02
Acewin Agriteck,INE02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02
Achyut Health,AH09,https://www.moneycontrol.com/india/stockpricequote/achyuthealth/achyuthealthcare/AH09
Acjlascadb svdj,BCI04,https://www.moneycontrol.com/india/stockpricequote/acjlascadbsvdj/acjlascadbsvdj/BCI04
Acmasnvadn dcnd,CI16,https://www.moneycontrol.com/india/stockpricequote/acmasnvadndcnd/acmasnvadndcnd/CI16
Acme Resources,AR9,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9
Acquaint Export,AE,https://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
Action Financia,AFS01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01
Acumen Trading,ATI01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01
Adani Energy,AT22,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22
Adani Green Ene,ADANI54145,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
Adani Total Gas,ADG01,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
Adarsh Mercant,AM12,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12
Adcon Capital,ACS06,https://www.moneycontrol.com/india/stockpricequote/adconcapital/adconcapitalservices/ACS06
Add-Life Pharma,ALP,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/addlifepharma/ALP
Addictive Learn,ALTL,https://www.moneycontrol.com/india/stockpricequote/addictivelearn/addictivelearningtechnology/ALTL
Adhbhut Infra,AI71,https://www.moneycontrol.com/india/stockpricequote/adhbhutinfra/adhbhutinfrastructure/AI71
Adhunik Synth,AS,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/adhuniksynthetics/AS
Adinath Exim,AER,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/adinatheximresources/AER
Adithya Alkaloi,AAL,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/adithyaalkaloids/AAL
Aditya Birla Ch,ABC08,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
Aditya Consumer,ACM01,https://www.moneycontrol.com/india/stockpricequote/retail/adityaconsumermarketing/ACM01
Aditya Forge,AF,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/adityaforge/AF
Aditya Lime,ALI01,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityalimeindustries/ALI01
Aditya Spinners,AS01,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
Adjia Tech,AT24,https://www.moneycontrol.com/india/stockpricequote/software/adjiatechnologies/AT24
Ador Fontech,AF22,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorfontech/AF22
Ador Technopak,AT11,https://www.moneycontrol.com/india/stockpricequote/packaging/adortechnopak/AT11
Adroit Info PP,AIP01,https://www.moneycontrol.com/india/stockpricequote/onlineservices/adroitinfotechpp/AIP01
Advance Bio-Coa,ABC04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancebiocoalindia/ABC04
Advance Multi,AM02,https://www.moneycontrol.com/india/stockpricequote/rubber/advancemultitech/AM02
Advance Syntex,AS08,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advancesyntex/AS08
Advani Hotels,AHR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Advik Capital,AIL04,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/advikcapital/AIL04
Aelea Commo,ACL09,https://www.moneycontrol.com/india/stockpricequote/consumerfood/aeleacommodities/ACL09
Aeroflex Ind.,AI87,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/aeroflexindustries/AI87
Aether Ind,AI84,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84
Aftek,A14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
Agarwal Ind,AIC03,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
Agni Green,AGP,https://www.moneycontrol.com/india/stockpricequote/renewables/agnigreenpower/AGP
Agri-Tech,ATI02,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
Agrimony Comm,AC11,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11
Agro Dutch Ind,ADI02,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
